Country_Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
Angola,SADC,-11.2027,17.8739,19,5,2,4/15/2020
Botswana,SADC,-22.3285,24.6849,13,0,1,4/15/2020
Comoros,SADC,-11.652,43.3726,0,0,0,4/15/2020
Congo (Kinshasa),SADC,-4.322447,15.307045,267,23,22,4/15/2020
Eswatini,SADC,-26.5225,31.4659,16,8,0,4/15/2020
Lesotho,SADC,-29.6232,28.2335,0,0,0,4/15/2020
Madagascar,SADC,-18.766947,46.869107,110,21,0,4/15/2020
Malawi,SADC,-13.254308,34.301525,16,0,2,4/15/2020
Mauritius,SADC,-20.348404,57.552152,324,65,9,4/15/2020
Mozambique,SADC,-18.665695,35.529562,29,2,0,4/15/2020
Namibia,SADC,-22.9576,18.4904,16,4,0,4/15/2020
Seychelles,SADC,-4.6796,55.492,11,0,0,4/15/2020
South Africa,SADC,-30.5595,22.9375,2506,410,24,4/15/2020
Tanzania,SADC,-6.369028,34.888822,88,11,4,4/15/2020
Zambia,SADC,-13.133897,27.849332,48,30,2,4/15/2020
Zimbabwe,SADC,-19.015438,29.154857,23,1,3,4/15/2020
